userName,score,at,content
Bayu Azka,1,2025-12-04 03:55:54,"lemot banget ini aplikasi nya, gak bisa buat yang lebih bagus apa ? ini kan aplikasi pemerintahan, masa kualitas nya down, jngan mikirin cuannya aja lah, nagaco pada"
Ahmad Fuad,1,2025-12-04 03:53:27,"Fungsinya apa? Mau buat akun baru malah pilihannya daftar offline, ini applikasi dibuat untuk mempermudah apa mau mempersulit. Gimana mau maju negara ini, harusnya applikasi online ya daftar online, verifikasi semua lewat online, ngapain kita disuruh daftar offline, sungguh membagongkan. Di era digital kita masih disuruh datang hanya untuk verifikasi pembuatan akun baru, sungguh diluar nalar pemikirannya. Sudah bagus dulu ada Web namanya Siap Om, sekarang malah dialihkan ke applikasi ini."
Ridh Wan,5,2025-12-04 03:14:11,Saya lupa pin IKD. Harus bagaimana cara mengembalikan pin saya
Yogi s,5,2025-12-04 03:12:36,ok
Pulung Mahendra,5,2025-12-04 03:01:02,mau tanya... apakah membuat surat pindah dengn menggunakan apk IKD sudah tidak bisa lagi?...
Shuhardi9066 Shuha,4,2025-12-04 02:33:32,cukup memuaskan
Lisna wati,1,2025-12-04 02:05:26,"apk belum layak sih ini, payah di akses"
Bang Latif_08,5,2025-12-04 00:19:18,cari Indentitas Online Pake Aplikasi Ini
Tuti Alawiyah,5,2025-12-04 00:00:05,mempermudah masyarakat yg membutuhkan info terkait data kependudukan secara efisien dan cepat
Arif Yunianto,5,2025-12-03 23:57:47,mantab
All About,1,2025-12-03 18:37:29,"aneh banget, aplikasi online harus daftar offline punya negara begini amat ya kaga maju maju"
Abd Asis,2,2025-12-03 17:11:00,setelah update malah gak bisa masuk
Busen,1,2025-12-03 15:08:06,semakin lama semakin jelek tak bisa di perbarui
Tusman Tusman,5,2025-12-03 14:48:35,sangat baik untuk kesejahteraan masyarakat
